address,latitude,longitude,type
Natatorium (LaSalle / Rolland),45.444547,-73.575091,low
Tolhurst / Fleury,45.544149,-73.66752,low
du Parc / François-Foucault,45.6057854,-73.66274,low
Parc Lacharité (Latour / Forget),45.4177375,-73.6233855,low
St-Charles / Montarville,45.533682,-73.515261,low
Parc Wilfrid-Bastien (Lacordaire / des Galets),45.5864002,-73.5952181,low
Laird / Glencoe,45.5061916,-73.642308,low
de Grenoble / de Cassis,45.5788972,-73.7049271,low
Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534001,-73.6622545,low
Pratt / Bates,45.5169478,-73.6263156,low
Métro St-Laurent dépôt 2 (de Maisonneuve / St-Laurent),45.5107097,-73.5653543,low
Gare du Ruisseau (Dutrisac / Henri-Bourassa),45.5281437,-73.6925454,low
Durocher / Beaumont,45.5280002,-73.6192358,low
Crescent / de Maisonneuve N/E,45.4981204,-73.5775959,low
de Mentana / Gilford,45.528724,-73.583859,low
Métro Cadillac (Cadillac / Sherbrooke),45.5768333,-73.5464742,low
Parc des Hirondelles (Fleury / André-Jobin),45.5760003,-73.6467648,low
Jardin Botanique (Pie-IX / Sherbrooke),45.554947,-73.555295,low
Notre-Dame-de-Grâce / Décarie,45.477353,-73.615372,low
Métro Angrignon (Lamont /  des Trinitaires),45.44691,-73.60363,low
St-Christophe / René-Lévesque,45.5149464,-73.5562329,low
Quai Yvon-Julien (Marie-Victorin / de Montarville),45.606718,-73.4569203,low
Notre-Dame / de la Montagne,45.493029,-73.564818,low
Parc Maurice-Bélanger (Hébert / Denommée),45.5877138,-73.6317182,low
Parc Stoney-Point (St-Joseph / 47e avenue),45.4365683,-73.7083697,low
Louisbourg / O'Brien,45.5303945,-73.7039322,low
Bélanger / St-Laurent,45.5331335,-73.6147285,low
Parc du Bois-Franc (de l'Équateur / des Andes),45.5131776,-73.7130609,low
de Mentana / Laurier,45.53045,-73.587638,low
Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,low
Métro Mont-Royal (Pontiac / du Mont-Royal),45.5239839,-73.5830784,low
41e avenue / Rosemont,45.57179,-73.564315,low
Louis-Hébert / Bélanger,45.551585,-73.599165,low
Legrand / Cartier,45.552298,-73.7073827,low
Drummond / Ste-Catherine,45.498639,-73.574227,low
Champdoré / de Lorimier,45.5668693,-73.6410168,low
Ste-Claire / Pierre-Tétreault,45.6019133,-73.5244185,low
Métro de la Concorde (Léo-Lacombe),45.5604899,-73.7091851,low
Henri-Julien / de Bellechasse,45.5295036,-73.6048646,low
1ère avenue / Rosemont,45.5478,-73.584867,low
Notre-Dame  / St-Martin,45.4883019,-73.5687178,low
St-Urbain / Laurier,45.5216462,-73.5936677,low
St-Antoine / Jean-Paul Riopelle,45.5029397,-73.5606404,low
Parc Van Horne (de la Peltrie / de Westbury),45.4904723,-73.6385324,low
Queen / Wellington,45.497605,-73.55535,low
Ste-Catherine / Sanguinet,45.5128938,-73.5612479,low
35e avenue / Beaubien,45.570081,-73.573047,low
Laurier / de Bordeaux,45.537205,-73.579254,low
Dollard / Bernard,45.516783,-73.611423,low
16e avenue / St-Joseph,45.55287,-73.565631,low
Parc Père-Marquette (Chambord / Rosemont),45.537088,-73.593219,low
Fairmount / Hutchison,45.5196243,-73.598312,low
Jogues / Allard,45.45002,-73.600306,low
Édouard-Montpetit / de Stirling,45.50723,-73.615085,low
Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564,low
Kirkfield / de Chambois,45.5129332,-73.6338902,low
Place des Festivals ( du Président-Kennedy / de Bleury),45.5076439,-73.569324,low
des Écores / Beaubien,45.5475364,-73.5926726,low
Casino de Montréal,45.506373,-73.524577,low
Mozart / St-Laurent,45.53318,-73.61544,low
Drolet / Beaubien,45.533348,-73.605834,low
St-André / Rachel,45.5243532,-73.5759665,low
Victoria / de Maisonneuve,45.477429,-73.600169,low
St-Jacques / Guy,45.4913669,-73.5701072,low
Métro Crémazie (Crémazie / Lajeunesse),45.546408,-73.638428,low
Métro Assomption (Chauveau / de l'Assomption),45.569789,-73.548081,low
St-Dominique / Gounod,45.538738,-73.628022,low
Boyer / Everett,45.5432845,-73.6162861,low
de Castelnau / Lajeunesse,45.5403962,-73.6168179,low
René-Lévesque / Papineau,45.5209208,-73.5499048,low
McGill / Wellington,45.4994477,-73.5548991,low
La Tour de Montréal (Pierre-de-Coubertin / Bennett),45.5597053,-73.5515544,low
St-Marc / Sherbrooke,45.494514,-73.583368,low
Sanguinet / de Maisonneuve,45.513405,-73.562594,low
de l'Église / Bannantyne,45.463254,-73.575879,low
de la Petrie /de la Cote-des-Neiges,45.4996658,-73.6302906,low
St-Hubert / Laurier,45.52931,-73.588657,low
Boyer / St-Joseph,45.5295423,-73.5846072,low
Graham / Wicksteed,45.5169365,-73.640483,low
Beaudry / Sherbrooke,45.523035,-73.565395,low
de Léry / Sherbrooke,45.5409997,-73.5582626,low
Métro Place Saint-Henri (St-Ferdinand / St-Jacques),45.4772809,-73.5873042,low
Métro Monk (Allard / Beaulieu),45.450851,-73.594027,low
Métro Viau ( Pierre-de-Coubertin / Viau),45.5622187,-73.5462677,low
Terminus Newman (Airlie / Lafleur),45.4250597,-73.6495992,low
Gilford / des Érables,45.5375266,-73.5751244,low
de Maisonneuve / Mansfield (sud-est),45.5022935,-73.5733064,low
Beaubien / 8e avenue,45.553457,-73.587842,low
Regina / de Verdun,45.467369,-73.570769,low
Casgrain / St-Viateur,45.527513,-73.598791,low
Ste-Catherine / St-Clément,45.5567173,-73.5302496,low
Drummond / Sherbrooke,45.5003924,-73.578168,low
Métro Sauvé (Berri / Sauvé),45.550692,-73.656367,low
Boyer /Laurier,45.5303709,-73.5865103,low
Chambord / Fleury,45.559828,-73.658325,low
Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),45.6027276,-73.5579303,low
de la Montagne / Ste-Catherine,45.4977406,-73.5748494,low
St-Cyril / Wiseman,45.5208548,-73.6157396,low
St-Mathieu / Sherbrooke,45.495789,-73.582596,low
de Chateaubriand / Jarry,45.545955,-73.626992,low
de Bullion / du Mont-Royal,45.521751,-73.585268,low
St-Dominique / de Bellechasse,45.5295036,-73.6048646,low
Melville / de Maisonneuve,45.4818402,-73.595379,low
Métro Rosemont (de St-Vallier / Rosemont),45.531783,-73.597793,low
Parc Félix-Leclerc (François-Boivin / St-Zotique),45.591455,-73.5627553,low
Notre-Dame / Guy,45.4900138,-73.5672063,low
Faillon / St-Denis,45.5398641,-73.6203128,low
Ste-Catherine / Dezery,45.539385,-73.541,low
Henri-Julien / Laurier,45.525843,-73.590399,low
Poupart / Ontario,45.531939,-73.553439,low
de l'Église / de Verdun,45.463001,-73.571569,low
de Monkland / Girouard,45.477107,-73.621438,low
de Bleury / de Maisonneuve,45.5070965,-73.5684416,low
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.5148749,-73.5848641,low
Square Viger (Berri / Viger),45.5122121,-73.5546289,low
Maguire / Henri-Julien,45.527041,-73.593471,low
Marquette / Gillford,45.533815,-73.5789049,low
St-Dominique / Bernard,45.527933,-73.601223,low
Fullum / Gilford,45.539224,-73.573837,low
Ste-Catherine / St-Laurent,45.5098134,-73.5638952,low
Marie-Anne / St-Hubert,45.524683,-73.578897,low
de Maisonneuve / Greene,45.486971,-73.589293,low
St-Antoine / de la Montagne,45.4953717,-73.5685891,low
Bourget / St-Jacques,45.4808458,-73.5838616,low
Clark / Ontario,45.5106246,-73.5669033,low
Ste-Catherine / Drummond,45.4985885,-73.5742781,low
Boyer / Jean-Talon,45.541586,-73.612481,low
St-Zotique / Clark,45.531401,-73.612674,low
des Érables / Dandurand,45.5413694,-73.583974,low
de Bellechasse / de Lanaudière,45.5393536,-73.5953736,low
Marché Jean-Talon (Henri-Julien / Jean-Talon),45.536785,-73.614888,low
Molson / Beaubien,45.549686,-73.591155,low
Jeanne-Mance / René-Lévesque,45.506371,-73.564201,low
Métro Snowdon (de Westbury / Queen-Mary),45.485385,-73.628142,low
de Gaspé / Marmier,45.529686,-73.601728,low
Aylmer / Sherbrooke,45.506587,-73.573299,low
Letourneux / Ste-Catherine,45.5507836,-73.5341,low
Hutchison / Van Horne,45.524942,-73.610606,low
Lacombe / Victoria,45.490628,-73.628878,low
Lincoln / du Fort,45.493034,-73.583836,low
Maguire / St-Laurent,45.524628,-73.595811,low
Montcalm / Ontario,45.521081,-73.562275,low
Duke / Nazareth,45.4957224,-73.5546134,low
Fortune / Wellington,45.477923,-73.559038,low
Place du Canada (Peel / des Canadiens-de-Montréal),45.4978835,-73.5685676,low
de l'Hôtel-de-Ville / Ste-Catherine,45.51166,-73.562136,low
de Kent / de la Côte-des-Neiges,45.501449,-73.633051,low
de Gaspé / Beaubien,45.5319579,-73.607001,low
Harvard / de Monkland,45.474565,-73.624036,low
Valois / Ste-Catherine,45.54523,-73.53725,low
des Jockeys / Décarie,45.4940443,-73.6544949,low
St-André / Ontario,45.51889,-73.56353,low
St-Hubert / René-Levesque,45.5143692,-73.556487,low
Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658,low
Ropery / Augustin-Cantin,45.480914,-73.56846,low
de Maisonneuve / Mansfield (sud),45.502145,-73.573427,low
de Bordeaux / Jean-Talon,45.549755,-73.605566,low
Métro Frontenac (Ontario / du Havre),45.533706,-73.552179,low
Parc des Rapides (LaSalle / 6e avenue),45.429471,-73.593099,low
Querbes / Laurier,45.51754,-73.597832,low
Jeanne-Mance / Fairmount,45.5209837,-73.5972807,low
Ottawa / William,45.489727,-73.564063,low
Rielle / Wellington,45.4601559,-73.5670012,low
Bibliothèque de Verdun (Brown / Bannantyne),45.448262,-73.577856,low
Gilford / de Brébeuf,45.530816,-73.581626,low
CHSLD St-Michel (8e avenue / Jarry),45.5616903,-73.610512,low
St-Denis / de Maisonneuve,45.514404,-73.561919,low
8e avenue / Everett,45.5648113,-73.5958041,low
Jeanne-Mance / Beaubien,45.52765,-73.6123,low
Parc Nicolas-Tillemont (des Érables / Villeray),45.5546365,-73.6125522,low
Métro Langelier (Langelier / Sherbrooke),45.582847,-73.542476,low
6e avenue / Villeray,45.5587396,-73.6058904,low
Lucien L'Allier / St-Jacques,45.493569,-73.568576,low
Henri-Julien / de Castelnau,45.537891,-73.618215,low
Cartier / Dandurand,45.539236,-73.585946,low
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.50367,-73.61848,low
Quai de la navette fluviale,45.513741,-73.538382,low
Canning / Notre-Dame,45.486319,-73.570233,low
Chabot / Villeray,45.5522894,-73.6130065,low
Coolbrook / Queen-Mary,45.482852,-73.630344,low
Liébert / Hochelaga,45.595875,-73.523528,low
Métro Jolicoeur (de Sève / Drake),45.4560855,-73.5819371,low
Louis-Hémon / Jean-Talon,45.5517743,-73.6034784,low
Carrefour Angrignon (Angrignon / Newman),45.4484341,-73.6129455,low
26e avenue / Beaubien,45.564944,-73.577639,low
Ontario / Ville-Marie,45.5600196,-73.5349345,low
Fullum / Marie-Anne,45.5365054,-73.5680392,low
des Érables / Laurier,45.5384608,-73.5776791,low
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),45.5129939,-73.6824985,low
Pierre-de-Coubertin / Aird,45.5590311,-73.5483035,low
de la Roche / Bélanger,45.54167,-73.607604,low
Papineau / Émile-Journault,45.559884,-73.633568,low
Masson / Molson,45.5443459,-73.5769769,low
Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871,low
de la Roche /  de Bellechasse,45.537159,-73.597476,low
St-Mathieu / René-Levesque,45.492134,-73.5763836,low
Guizot / St-Laurent,45.539663,-73.634475,low
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand),45.596797,-73.535179,low
Métro Radisson (Sherbrooke / des Groseilliers),45.589175,-73.539656,low
des Carrières / Marquette,45.5385795,-73.5884857,low
Nicolet / Sherbrooke,45.549695,-73.554647,low
St-Nicolas / Place d'Youville,45.501967,-73.555153,low
Aylmer / Ste-Catherine,45.5043468,-73.5689485,low
St-Joseph Lachine / 21e avenue,45.4335212,-73.6835432,low
St-Jacques / St-Laurent,45.506421,-73.556466,low
Chabanel / Tolhurst,45.540105,-73.6534703,low
Everett / Garnier,45.5475815,-73.6122085,low
Hamilton / Jolicoeur,45.456355,-73.597557,low
Place Valois (Valois / Ontario),45.5471414,-73.5433951,low
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),45.4962414,-73.6298387,low
Montcalm / de Maisonneuve,45.519139,-73.557866,low
BAnQ (Berri),45.5160139,-73.5629196,low
St-Laurent / Pl. du Marché,45.5092896,-73.562416,low
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.496098,-73.621733,low
du Champ-de-Mars / Gosford,45.509655,-73.554009,low
Parc de Dieppe,45.5018635,-73.543961,low
du President-Kennedy / Union,45.505011,-73.572028,low
St-Grégoire / Christophe-Colomb,45.5325974,-73.5901111,low
Ontario / Sicard,45.556262,-73.537441,low
Milton / St-Laurent,45.5129039,-73.5705918,low
Charles-Daoust / 75e avenue,45.5425059,-73.7409532,low
de Mentana / Marie-Anne,45.526027,-73.577859,low
Métro Charlevoix (Centre / Charlevoix),45.478228,-73.569651,low
Parc Baldwin (Fullum / Sherbrooke),45.5340705,-73.5626507,low
de Maisonneuve / Mansfield (nord),45.502311,-73.5733635,low
Murray / Wellington,45.4921472,-73.5579836,low
de Bellechasse / de St-Vallier,45.53341,-73.601124,low
du Havre / Hochelaga,45.535753,-73.557941,low
Métro Parc  (Hutchison / Ogilvy),45.5303513,-73.6243924,low
Parc d'Antioche (Place d'Antioche / St-Zotique),45.595352,-73.55859,low
Villeneuve / du Parc,45.51829,-73.59235,low
Omer-Lavallée / du Midway,45.545776,-73.562175,low
Gauthier / de Lorimier,45.531674,-73.565413,low
St-Jacques / des Seigneurs,45.489186,-73.5719,low
29e avenue / St-Zotique,45.567766,-73.579688,low
Métro Villa-Maria (de Monkland / Décarie),45.4789684,-73.6195993,low
Mont-Royal / St-Denis,45.5238768,-73.5830489,low
Gare Bois-de-Boulogne,45.539726,-73.677165,low
LaSalle / Godin,45.446934,-73.572199,low
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.556751,-73.667162,low
Métro Lionel-Groulx (St-Jacques / Atwater),45.4836285,-73.5797026,low
St-Alexandre / Ste-Catherine,45.505359,-73.567741,low
U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.457509,-73.639485,low
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),45.5140122,-73.5659867,low
de l'Hôtel-de-Ville / Roy,45.517401,-73.574605,low
Plessis / Ontario,45.523492,-73.56073,low
University / Prince-Arthur,45.507402,-73.578444,low
Garnier / St-Joseph,45.532978,-73.581222,low
St-Patrick / Briand,45.463397,-73.596436,low
Drolet / Gounod,45.540951,-73.626375,low
Sewell / Roy,45.5146774,-73.5765982,low
Dollard / Van Horne,45.519153,-73.616469,low
Marcil / Sherbrooke,45.471743,-73.613924,low
Parc Eusèbe-Ménard (Gouin / St-Vital),45.5925395,-73.6487482,low
Hogan / Ontario,45.535295,-73.55116,low
Parc Pratt (Dunlop / Van Horne),45.515007,-73.619788,low
Messier / St-Joseph,45.5394606,-73.5760564,low
du Marché Central / Crémazie,45.5334174,-73.6488837,low
de l'Hôtel-de-Ville / Rachel,45.5198966,-73.5801065,low
Parc Villeray (Christophe-Colomb / Jarry),45.5480925,-73.624261,low
de Laprairie / Centre,45.4813667,-73.5643189,low
William / St-Henri,45.498919,-73.557254,low
St-Hubert / de Maisonneuve (nord),45.5161321,-73.5604969,low
de Gaspé / Jarry,45.54078,-73.630401,low
Shearer / Centre,45.483006,-73.562187,low
de la Côte-Ste-Catherine / Decelles,45.500941,-73.625637,low
Lanaudière / Jean-Talon,45.5454627,-73.6107802,low
d'Orléans / Masson,45.557192,-73.569847,low
de St-Firmin / Fleury,45.570657,-73.651842,low
Métro Joliette  (Hochelaga / Joliette),45.5469919,-73.5511534,low
St-Sylvestre / St-Charles S/E,45.5363889,-73.5124558,low
